Subsystem,Failure,description,time,materials,equipment,operation_reduction,level,base,blades,generator,converter,fixed suport structure,substation,cabels
electrical_system,1,Converter,108,1190,CTV,0,1,0.953,0.953,0.953,1.906,0.953,0.953,0.953
electronic_control,1,Control,108,1190,CTV,0,1,0.41,0.41,0.41,0.41,0.41,0.41,0.41
sensors,1,n/a,0,0,CTV,0,1,0,0,0,0,0,0,0
hydraulic_system,1,hydraulic system,288,6549,SLN,0,2,1.004,1.004,1.004,1.004,1.004,1.004,1.004
yaw_system,1,yaw bearing,500,14300,LCN,0,3,0.169,0.169,0.169,0.169,0.169,0.169,0.169
rotor_blades,1,blades,500,14300,LCN,0,3,0.467,0.934,0.467,0.467,0.467,0.467,0.467
mechanical_brake,1,n/a,0,0,CTV,0,1,0,0,0,0,0,0,0
rotor_hub,1,hub,288,6549,SLN,0,2,0.221,0.221,0.221,0.221,0.221,0.221,0.221
rotor_hub,2,pitch bearings,288,6549,SLN,0,2,0.221,0.221,0.221,0.221,0.221,0.221,0.221
gearbox,1,n/a,0,0,CTV,0,1,0,0,0,0,0,0,0
generator,1,cooling,108,1190,CTV,0,1,0.197,0.197,0.197,0.394,0.197,0.197,0.197
generator,2,rotor,500,14300,LCN,0,3,0.585,0.585,0.585,1.17,0.585,0.585,0.585
generator,3,stator,500,14300,LCN,0,3,0.585,0.585,0.585,1.17,0.585,0.585,0.585
supporting_structure,1,nacelle,108,1190,CTV,0,1,0,0,0,0,0,0,0
supporting_structure,2,tower,108,1190,CTV,0,1,0.181,0.181,0.181,0.181,0.362,0.181,0.181
supporting_structure,3,transition piece,288,6549,SLN,0,2,0.181,0.181,0.181,0.181,0.362,0.181,0.181
supporting_structure,4,fixed foundation,500,14300,DSV,0,4,0.181,0.181,0.181,0.181,0.362,0.181,0.181
drive_train,1,main bearings,500,14300,LCN,0,3,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667
drive_train,2,mainshaft,288,6549,SLN,0,2,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667
transformer,1,subbstation,,,,,1,0.4500045,0.4500045,0.4500045,0.4500045,0.4500045,0.900009,0.4500045
transformer,2,subbstation,,,,,2,0.05,0.05,0.05,0.05,0.05,0.1,0.05
array cabel ,4,array cabel assuming 100km length,,,,,4,0.5,0.5,0.5,0.5,0.5,0.5,1
export ,4,export assuming 100km length,,,,,4,0.5,0.5,0.5,0.5,0.5,0.5,1