Subsystem,Failure,description,time,materials,equipment,operation_reduction,level,base,blades min u,blades min,blades max ,blades max u,generator min u,generator min,generator max,generator max u,converter min u,converter min,converter max,converter max u,substation min u,substation min,substation max,substation max u
electrical_system,1,Converter,108,1190,CTV,0,1,0.317666667,0.317666667,0.317666667,0.317666667,0.317666667,0.317666667,0.317666667,0.317666667,0.317666667,0.0693,0.077,0.538,0.5918,0.317666667,0.317666667,0.317666667,0.317666667
electronic_control,1,Control,108,1190,CTV,0,1,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667,0.136666667
sensors,1,n/a,0,0,CTV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydraulic_system,1,hydraulic system,288,6549,SLN,0,2,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667,0.334666667
yaw_system,1,yaw bearing,500,14300,LCN,0,3,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333,0.056333333
rotor_blades,1,blades,500,14300,LCN,0,3,0.155666667,0.0009,0.001,0.456,0.5016,0.155666667,0.155666667,0.155666667,0.155666667,0.155666667,0.155666667,0.155666667,0.155666667,0.155666667,0.155666667,0.155666667,0.155666667
mechanical_brake,1,n/a,0,0,CTV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rotor_hub,1,hub,288,6549,SLN,0,2,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667
rotor_hub,2,pitch bearings,288,6549,SLN,0,2,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667,0.073666667
gearbox,1,n/a,0,0,CTV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generator,1,cooling,108,1190,CTV,0,1,0.195,0.195,0.195,0.195,0.195,0.197,0.197,0.197,0.197,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195
generator,2,rotor,500,14300,LCN,0,3,0.195,0.195,0.195,0.195,0.195,0.0081,0.009,0.546,0.6006,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195
generator,3,stator,500,14300,LCN,0,3,0.195,0.195,0.195,0.195,0.195,0.0081,0.009,0.546,0.6006,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195
supporting_structure,1,nacelle,108,1190,CTV,0,1,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905
supporting_structure,2,tower,108,1190,CTV,0,1,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905
supporting_structure,3,transition piece,288,6549,SLN,0,2,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905
supporting_structure,4,fixed foundation,500,14300,DSV,0,4,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905,0.0905
drive_train,1,main bearings,500,14300,LCN,0,3,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667
drive_train,2,mainshaft,288,6549,SLN,0,2,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667,0.195666667
transformer,1,subbstation,,,,,1,0.164468167,0.164468167,0.164468167,0.164468167,0.164468167,0.164468167,0.164468167,0.164468167,0.164468167,0.164468167,0.164468167,0.164468167,0.164468167,0.01125,0.0125,0.4500045,0.49500495
transformer,2,subbstation,,,,,2,0.031133333,0.031133333,0.031133333,0.031133333,0.031133333,0.031133333,0.031133333,0.031133333,0.031133333,0.031133333,0.031133333,0.031133333,0.031133333,0.01125,0.0125,0.05,0.055
array cabel ,4,array cabel assuming 100km length,,,,,4,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092
export ,4,export assuming 100km length,,,,,4,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092,0.27092